timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
251838884,251790295,1077379,6.929178e-05,0.0067626224,0.0040404387,0,0.004821096,0.0033634177,0.0019678343,nan,0.009202378,0.012134632,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
252039753,251990076,1077379,0.00010153701,0.0061450335,0.0029108853,0,0.005009288,0.0034867886,8.008281e-05,nan,0.0054437653,0.0073078754,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
252245973,252197110,1077379,0.00019207539,0.006443088,0.0033742308,0,0.005048173,0.0035170184,0.00083266175,nan,0.02446072,0.01561679,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
252449821,252388093,1077379,0.00018913939,0.008836755,0.003572873,0,0.0049343845,0.0034573833,0.000724748,nan,0.02247381,0.020229477,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
252646585,252584966,1077379,0.00016021836,0.008337007,0.0036251552,0,0.0050981925,0.0035664008,0.003451158,nan,0.024951255,0.029783458,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
252845861,252794662,1077379,0.000106919986,0.006698168,0.003188088,0,0.0054130857,0.0037701628,0.0011421754,nan,0.015317168,0.03261357,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
253034089,252983092,1077379,2.3661843e-05,0.0034495238,0.0020528275,0,0.0050479625,0.0035198338,0.0028967785,nan,0.0075584566,0.027842717,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
253246271,253192633,1077379,0.00027926004,0.008579775,0.0031062844,0,0.0051074093,0.0035521544,0.0028925783,nan,0.031717334,0.018419087,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
253439628,253397371,1077379,0.00028539065,0.017248083,0.0071938066,0,0.0049366183,0.0034423342,0.0038011149,nan,0.02973951,0.014561274,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
253643489,253581736,1077379,0.0001478051,0.015193983,0.007722084,0,0.005074555,0.0035497178,0.003793103,nan,0.022703854,0.011744183,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
253837630,253795409,1077379,7.663586e-05,0.009893955,0.0060643344,0,0.004950627,0.0034620736,0.0053244783,nan,0.0135592325,0.0045081554,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
254042314,253999851,1077379,0.00016155589,0.009064739,0.0047382074,0,0.0052022142,0.003635377,0.0020909496,nan,0.025529413,0.002021723,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
254240681,254189464,1077379,5.3114127e-05,0.009947267,0.0047956854,0,0.0050011296,0.003495502,0.0024877563,nan,0.0025497442,0.0024046702,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
254442030,254388997,1077379,0.00025396768,0.009766467,0.004196684,0,0.0052436776,0.003654553,0.0066059823,nan,0.032804936,0.0025732424,0.0,0.0,0.0,0.401914,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
254635031,254589811,1077379,0.00033696397,0.0163816,0.00625152,0,0.0052372287,0.0036555966,0.0038927898,nan,0.039306793,0.0065476648,0.0,0.0,0.0,0.40726998,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
254836712,254785669,1077379,0.0001514066,0.014006749,0.0067002727,0,0.0054018283,0.0037664738,0.0038901947,nan,0.029498547,0.007828469,0.0,0.0,0.0,0.40726998,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
255031673,254980254,1077379,0.00014928986,0.010663933,0.0056636506,0,0.005100254,0.0035599251,0.0046281414,nan,0.019013613,0.013181932,0.0,0.0,0.0,0.40726998,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
255239633,255193706,1077379,2.948088e-05,0.0065158643,0.0039115343,0,0.005314258,0.0036979276,0.005589927,nan,0.006013591,0.0033632196,0.0,0.0,0.0,0.40726998,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
255440280,255394578,1077379,0.000119056946,0.0058272462,0.0023967598,0,0.0053346204,0.003723493,0.003993881,nan,0.019308759,0.0017651115,0.0,0.0,0.0,0.40726998,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
255640513,255590428,1077379,0.00014540565,0.00892867,0.0035491008,0,0.0050914325,0.0035560392,0.0031165816,nan,0.014335899,0.002710785,0.0,0.0,0.0,0.412298,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
255836190,255784928,1077379,5.598032e-05,0.0070003825,0.0032816003,0,0.0055912747,0.0038932243,0.0044004866,nan,0.010484985,0.0043885782,0.0,0.0,0.0,0.412298,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
256047190,255995848,1077379,9.463186e-05,0.008970107,0.0038710397,0,0.0048480676,0.003390464,0.005361269,nan,0.011987944,0.001441108,0.0,0.0,0.0,0.412298,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
256245608,256209330,1077379,8.251031e-05,0.007429856,0.0033835245,0,0.0051813843,0.0036125847,0.0059044207,nan,0.012932601,0.0023232142,0.0,0.0,0.0,0.412298,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
