timestamp,timestamp_sample,wrench[0],wrench[1],wrench[2],wrench[3],wrench[4],wrench[5],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14]
275899553,4547749508524910039,0.0,0.0,0.0,0.0,0.0,0.0,0.85035646,1.0253732,0.91615987,0.9748486,0.04019648,-0.05804181,0.0029999614,0.9983984,0.056544125,-0.0018225042,-0.056563497,0.998309,-0.013402332,-0.01991734,-0.017742181,0.0026572682,-0.050409604,0.049806725,0.005886626
275903354,4547792982183897634,0.0,0.0,0.0,0.0,0.0,0.0,0.8486787,1.0264574,0.91404057,0.9767177,0.04019648,-0.05804181,0.0029999614,0.9983984,0.056544125,-0.0018225042,-0.056563497,0.998309,-0.013402332,-0.01991734,-0.017742181,0.0026572682,-0.051593855,0.0507001,0.0030559
275906082,4547651454421538340,0.0,0.0,0.0,0.0,0.0,0.0,0.8534532,1.0229275,0.9167576,0.974419,0.04019648,-0.05804181,0.0029999614,0.9983984,0.056544125,-0.0018225042,-0.056563497,0.998309,-0.013402332,-0.01991734,-0.017742181,0.0026572682,-0.050113343,0.054062568,0.007917376
275907671,4547760280302919909,0.0,0.0,0.0,0.0,0.0,0.0,0.84939814,1.0256419,0.9125339,0.9782165,0.04019648,-0.05804181,0.0029999614,0.9983984,0.056544125,-0.0018225042,-0.056563497,0.998309,-0.013402332,-0.01991734,-0.017742181,0.0026572682,-0.052651934,0.054762464,0.0018833308
275912151,4547865176289185239,0.0,0.0,0.0,0.0,0.0,0.0,0.8499774,1.0282586,0.90760183,0.9776946,0.040596366,-0.057597518,0.0029549599,0.99840695,0.05641058,-0.001184884,-0.05642119,0.9983235,-0.012919218,-0.02126891,-0.022462217,0.0015416084,-0.051198985,0.05808194,-0.0008481463
275915367,4547821998982947243,0.0,0.0,0.0,0.0,0.0,0.0,0.8526162,1.0271813,0.9064415,0.97648597,0.040596366,-0.057597518,0.0029549599,0.99840695,0.05641058,-0.001184884,-0.05642119,0.9983235,-0.012919218,-0.02126891,-0.022462217,0.0015416084,-0.047678567,0.061321672,0.00063600246
275922234,4547711197416642667,0.0,0.0,0.0,0.0,0.0,0.0,0.8561359,1.0244174,0.9023697,0.9762329,0.040888667,-0.057257652,0.0029098988,0.9984032,0.05648628,-0.0005278578,-0.056488425,0.9983252,-0.012474461,-0.019786716,-0.022437803,0.0021152222,-0.043819796,0.06668608,0.0009873078
275923798,4547661998566257214,0.0,0.0,0.0,0.0,0.0,0.0,0.858185,1.0231906,0.9027307,0.9751879,0.040888667,-0.057257652,0.0029098988,0.9984032,0.05648628,-0.0005278578,-0.056488425,0.9983252,-0.012474461,-0.019786716,-0.022437803,0.0021152222,-0.04221665,0.06844104,0.002753716
275926740,4547612657981957057,0.0,0.0,0.0,0.0,0.0,0.0,0.86018527,1.0219598,0.9021812,0.97479165,0.040888667,-0.057257652,0.0029098988,0.9984032,0.05648628,-0.0005278578,-0.056488425,0.9983252,-0.012474461,-0.019786716,-0.022437803,0.0021152222,-0.040831223,0.07147873,0.0037291024
275930422,4547560521373952452,0.0,0.0,0.0,0.0,0.0,0.0,0.8631498,1.0206596,0.89845335,0.9749564,0.040888667,-0.057257652,0.0029098988,0.9984148,0.056282282,0.000190272,-0.056275785,0.998341,-0.012170156,-0.019786716,-0.022437803,0.0021152222,-0.036522616,0.07605892,0.0030432253
275934263,4547535438764933336,0.0,0.0,0.0,0.0,0.0,0.0,0.86471665,1.0200338,0.8982119,0.9738362,0.040888667,-0.057257652,0.0029098988,0.9984148,0.056282282,0.000190272,-0.056275785,0.998341,-0.012170156,-0.019786716,-0.022437803,0.0021152222,-0.034188118,0.07719235,0.0043495037
275937474,4547548662969243489,0.0,0.0,0.0,0.0,0.0,0.0,0.86287075,1.0203638,0.90087265,0.974453,0.040888667,-0.057257652,0.0029098988,0.9984104,0.056356072,0.000786643,-0.05634284,0.99834114,-0.011848075,-0.019786716,-0.022437803,0.0021152222,-0.037492655,0.07157939,0.0041354224
275939891,4547394288959673183,0.0,0.0,0.0,0.0,0.0,0.0,0.8652748,1.0165145,0.9032625,0.9690901,0.04135239,-0.05676794,0.0028407574,0.9984104,0.056356072,0.000786643,-0.05634284,0.99834114,-0.011848075,-0.019279288,-0.025633797,0.00354391,-0.039174467,0.07229237,0.010097721
