timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
122251827,4.8798065,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
122751913,4.8801084,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
123251827,4.8690305,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
123751825,4.8818207,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
124251826,4.88172,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
124751826,4.8811154,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
125251826,4.881015,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
125751825,4.8645997,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
126251842,4.856442,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
126752316,4.8450623,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
127251826,4.870944,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
127751826,4.8790007,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
128251825,4.8835325,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
128751826,4.880713,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
129252043,4.8767853,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
129751841,4.8794036,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
130251825,4.8697357,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
130751826,4.899646,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
131251826,4.861981,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
131751968,4.846371,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
132251855,4.846371,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
132751827,4.8712463,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
133251860,4.852917,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
133751867,4.875879,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
134251980,4.859463,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
134751845,4.8710446,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
135251826,4.891791,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
