timestamp,observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],controller_time,inference_time
129913762,-0.08480957,-0.028912568,-0.019764304,0.99837697,0.050249457,-0.026804933,-0.05029142,0.99873424,-0.00089247146,0.013808475,0.0062391837,-0.004762617,0.52402073,-0.43801913,-0.064677075,0.5632152,0.57897335,0.2851585,0.88105595,149,110
129961883,-0.084773645,-0.028882105,-0.019807816,0.9988039,0.047325015,-0.012298206,-0.047237873,0.9988572,0.007282959,0.0008019674,-0.0052997363,0.011573121,-0.3269194,0.20223898,0.00047097023,0.475391,0.46880564,0.6788719,0.22905505,131,92
130014527,-0.085100025,-0.028484015,-0.01965928,0.99867857,0.046656013,-0.021548014,-0.046685696,0.99890924,-0.0008780448,-0.0035586455,-0.013122739,0.0061387946,-0.1744167,0.3774958,0.09181371,0.5795113,0.44755942,0.6630015,0.2384855,127,86
130064186,-0.08527146,-0.027849263,-0.019723892,0.99886996,0.044408083,-0.016942294,-0.04427135,0.9989847,0.00836033,0.0054978025,-0.0034959125,-0.001543634,0.36940625,-0.547926,0.02680076,0.5351933,0.6775433,0.21653913,0.7678231,150,87
130112360,-0.08550534,-0.02731532,-0.019673169,0.99903,0.04236424,-0.012018987,-0.042293668,0.99908686,0.006071024,-0.006646074,-0.020925626,0.010164607,-0.5759214,0.5187032,0.071199544,0.5124556,0.48975468,0.6764367,0.13946597,136,87
130164973,-0.085895225,-0.026276771,-0.019582212,0.9988771,0.042273164,-0.021390205,-0.042182326,0.999099,0.0046816524,0.004072715,-0.0051385006,-0.012813799,0.45133844,-0.13145152,0.015212586,0.6437029,0.47892258,0.36166534,0.7002577,147,85
130214604,-0.08607718,-0.025044857,-0.019536495,0.9992289,0.038808107,-0.0059751035,-0.038718343,0.9991454,0.014478238,0.011651885,-0.013929016,0.0033343367,-0.20957828,-0.18479407,0.026442505,0.43878803,0.61379164,0.5328539,0.36173669,132,93
130262741,-0.08675031,-0.023948122,-0.019308984,0.99911547,0.037564635,-0.018901564,-0.03752613,0.99929285,0.0023899584,0.0005199065,-0.025273498,0.008142394,-0.18317312,0.4977754,0.1297888,0.61829156,0.44751436,0.6535438,0.20870319,147,109
130312369,-0.08738203,-0.022546384,-0.019319117,0.9993036,0.03443432,-0.014382083,-0.034208536,0.99929214,0.015659567,0.015634226,-0.015362906,-0.011898566,0.4136588,-0.5710429,0.007557459,0.5547294,0.67138594,0.2216215,0.7888097,135,97
130365049,-0.087981716,-0.021271586,-0.019098222,0.9994719,0.03202355,-0.005526872,-0.031935334,0.9993719,0.015366872,0.0033057742,-0.025031045,0.01291487,-0.6073161,0.2891273,0.025467994,0.46280643,0.5128501,0.66951066,0.13866735,168,129
130413165,-0.08883192,-0.02026613,-0.01919657,0.99928594,0.031774163,-0.020447442,-0.031603098,0.99946326,0.008638184,0.026057234,-0.008694647,-0.0031582236,0.4953017,0.01855166,-0.0046197106,0.69713074,0.36905578,0.42344686,0.650515,147,110
130462807,-0.08953759,-0.018826412,-0.01943034,0.9995377,0.029437184,-0.007613868,-0.029274464,0.99935776,0.020667318,0.016140178,-0.010753429,0.0065527493,-0.17371115,-0.38891548,0.0241072,0.40817657,0.70389605,0.42332393,0.4506301,148,89
130510935,-0.090807855,-0.01780352,-0.019069195,0.999402,0.028716922,-0.019266171,-0.028600812,0.9995713,0.0062704016,0.0016121133,-0.010818285,-0.00012765705,-0.24973391,0.5295375,0.10706132,0.6050363,0.46031114,0.6609393,0.1897865,122,84
