timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
146582931,146381766,146383086,0,0.3187687,-0.1827691,0.5564387,0.0025000002,0.0025000002,0.0025000002,0.027949959,-0.027652591,-0.090874106,-0.03126326,-0.010374849,-0.08194364,0.0025306335,0.00254133,0.002528036,0.03429972,0.03395972,0.3635839,-0.14893025,-0.025331767,-0.5968985,2,0,1
147071206,146871732,146872714,0,0.3781332,-0.111632146,0.45335865,0.0025000002,0.0025000002,0.0025000002,-0.05793208,-0.02055823,0.07964945,0.0019928885,-0.021341013,-0.046961848,0.002520106,0.002509245,0.00250875,0.1479711,0.018723367,0.28093335,-0.019805597,-0.04290914,-0.3469936,2,0,1
147633697,147431730,147362156,0,0.3032855,-0.08297718,0.83621144,0.0025000002,0.0025000002,0.0025000002,-0.043688774,-0.0093661845,-0.27696195,-0.023354957,-0.008345657,-0.0834683,0.0025185505,0.0025176208,0.0025137318,0.084206685,0.003871619,3.3906171,-0.08101385,-0.012783091,-0.9061626,2,1,0
148127173,147921760,147924649,0,0.3641863,-0.1748169,0.5579256,0.0025000002,0.0025000002,0.0025000002,-0.07369006,0.04451385,-0.02203077,-0.04348394,0.0019639551,-0.08203681,0.0025141903,0.0025087914,0.0025084985,0.23998114,0.087751545,0.021506956,-0.3687552,-0.0014010665,-0.8349663,2,0,1
148612882,148411825,148414234,0,0.23470345,-0.09541189,0.5687993,0.0025000002,0.0025000002,0.0025000002,0.04874596,-0.046699278,-0.04080063,-0.02969235,0.0038022825,-0.08612698,0.0025136902,0.0025087886,0.0025084075,0.105032325,0.09656714,0.07376028,-0.20566209,0.0075848894,-0.6375352,2,0,1
149102981,148901768,148768377,0,0.3407434,-0.12484258,0.7378186,0.0025000002,0.0025000002,0.0025000002,-0.06432006,-0.008443773,-0.20284355,-0.044798207,-0.008257863,-0.10566218,0.0025145242,0.0025084342,0.0025082133,0.18280773,0.0031581144,1.8227009,-0.19752607,-0.036297016,-0.90289366,2,1,0
149591865,149391731,149330855,0,0.5010193,-0.19898194,0.4386605,0.0025000002,0.0025000002,0.0025000002,-0.20817423,0.06942192,0.100053445,-0.06528014,0.022886477,-0.0810298,0.0025142026,0.002508542,0.002508197,1.9151869,0.2134663,0.4434656,-0.46091893,0.06257367,-0.76483434,2,1,0
150082422,149881756,149882866,0,0.37506792,-0.1454415,0.47727153,0.0025000002,0.0025000002,0.0025000002,-0.080510914,0.005923435,0.05468604,-0.043851588,0.007967758,-0.059317496,0.00251419,0.0025083192,0.0025080317,0.28646323,0.0015550908,0.13250868,-0.28927281,-0.026938014,-0.62711245,2,0,1
150570815,150371732,150309891,0,0.28935495,-0.147716,0.7424576,0.0025000002,0.0025000002,0.0025000002,0.0044771135,0.009404734,-0.20928578,-0.027256472,0.0020927866,-0.07691229,0.0025139805,0.0025081513,0.0025078796,0.0008859144,0.0039182915,1.940574,-0.14226422,-0.033606607,-0.6620239,2,1,0
151133587,150931730,150934849,0,0.43409327,-0.14731877,0.51767313,0.0025000002,0.0025000002,0.0025000002,-0.14184716,0.018893123,0.023279607,-0.045475833,0.0018321945,-0.06608574,0.0025139214,0.0025082284,0.002507875,0.88929754,0.015814798,0.023973452,-0.22212063,-0.013817337,-0.5823465,2,0,1
151623328,151421731,151424369,0,0.33563697,-0.1671121,0.668954,0.0025000002,0.0025000002,0.0025000002,-0.046316326,0.03632672,-0.12915087,-0.06300653,-0.0017002008,-0.07516045,0.0025139337,0.0025079406,0.0025076824,0.094813876,0.058470313,0.73909116,-0.28377736,-0.010026301,-0.54902756,2,0,1
152112690,151911732,151851574,0,0.48176333,-0.1832206,0.52797216,0.0025000002,0.0025000002,0.0025000002,-0.19235614,0.045964792,0.007944435,-0.076480865,-0.007276766,-0.086530454,0.002513955,0.002507759,0.0025075306,1.6353551,0.09361,0.0027966443,-0.5314264,-0.0420453,-0.68825465,2,1,0
152603831,152401759,152403491,0,0.37895817,-0.19050364,0.49982244,0.0025000002,0.0025000002,0.0025000002,-0.08673006,0.05192572,0.03588289,-0.0511445,0.02836107,-0.06597444,0.0025142392,0.002507753,0.0025074936,0.33242235,0.11945548,0.05707081,-0.3055825,0.18717167,-0.5160122,2,0,1
