timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
585684941,585684876,-1,-35.0,0,0,0,1503,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
586187100,586187043,-1,-28.0,0,0,0,1502,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
586686413,586686377,-1,-34.0,0,0,0,1503,1487,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
587185572,587180831,-1,-44.0,0,0,0,1503,1487,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
587685556,587685498,-1,-46.0,0,0,0,1502,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
588186611,588186568,-1,-45.0,0,0,0,1503,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
588686222,588681553,-1,-43.0,0,0,0,1502,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
589186079,589186022,-1,-44.0,0,0,0,1502,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
589687703,589687658,-1,-47.0,0,0,0,1502,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
590184388,590184331,-1,-38.0,0,0,0,1503,1489,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
590685986,590685948,-1,-24.0,0,0,0,1503,1487,1598,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
591186287,591180410,-1,-26.0,0,0,0,1503,1487,1597,1503,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
591684776,591684750,-1,-23.0,0,0,0,1503,1487,1597,1504,1988,1988,1011,1011,1500,1500,1500,1532,1000,1000,2000,2000,0,0,16,0,0,14,100
