timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
967379513,0.045733817,0.036076494,0.16059677,5058,0,-0.4439807,-0.21460333,-9.755745,5058,0,32,1,1
967384562,0.038847324,-0.0077069453,0.20683691,5049,0,-0.40902275,-1.3890892,-10.304734,5049,0,32,1,1
967394627,0.0456279,0.025347266,0.16942403,10065,0,-0.058541402,0.85262537,-9.516097,8823,0,32,1,1
967403487,0.03444844,-0.00013568545,0.18992984,8860,0,-0.57715786,-0.8411904,-10.1936,10102,0,32,1,1
967408587,0.05279199,-0.0083740465,0.1882343,5100,0,-0.475988,1.1308928,-9.533118,5100,0,32,1,1
967413706,0.028391689,0.04168547,0.18891914,5119,0,1.3205093,0.404513,-9.955435,5119,0,32,1,1
967419966,0.037238263,0.009184459,0.16547044,6260,0,-0.89382225,-0.8837631,-9.977348,5084,0,32,1,1
967425063,0.035257194,0.04705301,0.19992265,5097,0,0.36768034,0.78730637,-9.767289,6273,0,32,1,1
967433810,0.028750047,0.035701558,0.17401737,8747,0,-0.4451106,-0.6051711,-10.03169,8747,0,32,1,1
967438911,0.03732242,0.0057366784,0.1514124,5101,0,-0.58913666,-0.109132975,-9.911295,5101,0,32,1,1
967443950,0.036641866,0.038239904,0.20063637,5039,0,0.85457236,0.6701289,-9.6632595,5039,0,32,1,1
967449011,0.027821949,0.025937656,0.16460328,5061,0,-1.0020728,-0.4582828,-10.01631,5061,0,32,1,1
967459079,0.036612574,0.019077873,0.17530233,10068,0,-0.14668521,-0.59741753,-9.807502,8818,0,32,1,1
967464144,0.021793531,-0.0037926494,0.18806987,5065,0,-0.25576198,0.4396277,-9.7325945,6315,0,32,1,1
967469374,0.029409599,0.015360201,0.14637744,5230,0,0.016188877,-0.927383,-10.094714,5230,0,32,1,1
967477069,0.024475725,0.0055344347,0.21111217,7695,0,0.06358114,0.25594074,-9.838986,7695,0,32,1,1
967480575,0.021302393,0.012491237,0.12219387,3506,0,-0.7945634,-0.3732935,-9.905135,3506,0,32,1,1
967485633,0.031041188,0.0165152,0.15661596,5058,0,0.062098887,0.0795924,-9.683434,5058,0,32,1,1
967490731,0.029173631,0.020258624,0.21290308,5098,0,0.42992952,0.107993856,-10.381451,5098,0,32,1,1
967495718,0.043462288,0.010316961,0.13890539,4987,0,-2.0750017,0.4713534,-9.153797,4987,0,32,1,1
967510934,0.042120382,-0.013569372,0.18388912,5115,0,-1.4641974,0.29287875,-9.507165,5115,0,32,1,1
967515904,0.03878931,0.04597357,0.15126356,4970,0,0.37304324,-0.26184955,-9.812343,4970,0,32,1,1
967527294,0.044445563,0.04316074,0.13592649,4878,0,0.40516517,0.17747691,-9.572296,4878,0,32,1,1
967532318,0.023294486,0.031061932,0.15603165,5024,0,-0.1616129,-0.59309757,-10.237734,5024,0,32,1,1
967537464,0.03088362,0.00053470815,0.18135811,5146,0,-0.47718287,0.14886582,-9.944366,5146,0,32,1,1
967542480,0.030989679,0.023728939,0.1488661,5016,0,0.19982591,0.5750489,-9.493238,5016,0,32,1,1
967552624,0.029781375,0.004168422,0.18852882,4912,0,-0.73370403,-0.16565643,-10.045107,4912,0,32,1,1
967557660,0.03133518,0.03127522,0.15455666,5036,0,0.087122425,0.760586,-9.82976,5036,0,32,1,1
967567761,0.027081965,0.027100468,0.16582753,5047,0,-0.71161836,-0.21753067,-10.183772,5047,0,32,1,1
967577861,0.026968451,0.03828177,0.16106111,10100,0,-0.435755,0.58034414,-9.791526,8789,0,32,1,1
967582993,0.014488195,0.02489756,0.13256851,5132,0,-0.47676834,-0.6802565,-10.175238,6443,0,32,1,1
967588079,0.025610415,-0.012654872,0.15944096,5086,0,0.038364105,0.4914099,-9.387374,5086,0,32,1,1
967592997,0.010007492,0.05388145,0.15395887,4918,0,0.30176604,0.45386863,-10.098971,4918,0,32,1,1
967598077,0.0045501064,0.0013088975,0.122841544,5080,0,-1.763152,-2.0616384,-9.721049,5080,0,32,1,1
967603116,0.0063844873,0.010500189,0.15357439,5039,0,0.34296548,0.24295053,-10.195115,5039,0,32,1,1
967613233,-0.0024622434,0.007983827,0.13609906,5040,0,-0.26758817,-1.2611897,-10.257464,5040,0,32,1,1
967618256,0.0016193726,0.008713008,0.121557064,5023,0,-0.60388285,0.29525203,-9.929575,5023,0,32,1,1
967623311,-0.003964846,0.022240153,0.16409971,5055,0,0.50267667,0.41170958,-9.963908,5055,0,32,1,1
967628344,-0.0016653087,0.029888328,0.14290595,5033,0,-0.44951627,-0.39340118,-10.215883,5033,0,32,1,1
967633446,0.0073294085,-0.0007228949,0.095830336,5102,0,-1.1570932,-0.4281834,-9.579374,5102,0,32,1,1
967643540,0.0057358555,0.034218587,0.15200973,5046,0,-0.7364712,-0.036490895,-9.748747,5046,0,32,1,1
967648644,0.0019774677,0.03206415,0.11753788,5104,0,-0.2767218,-0.6784016,-10.113917,5104,0,32,1,1
967653655,0.013607124,0.055188738,0.15630421,5011,0,0.43913892,0.5519997,-10.111911,5011,0,32,1,1
967663776,0.007538735,0.025832996,0.10341086,5060,0,-0.23602761,-0.7504097,-9.826711,5060,0,32,1,1
967668791,0.019764662,0.047532607,0.12004849,5015,0,0.6890261,0.07311619,-10.088405,5015,0,32,1,1
967673865,0.0045405594,0.0117122885,0.15270516,5074,0,-0.5912196,0.21301283,-9.967732,5074,0,32,1,1
967683977,0.012202336,0.031179866,0.11111876,10112,0,0.23230945,-0.19268851,-9.941804,10112,0,32,1,1
967688976,0.010828998,0.0045050704,0.15903732,4999,0,-0.4460485,-0.1715096,-10.09353,4999,0,32,1,1
967699151,0.008663938,0.034702238,0.11031168,5144,0,-0.008362752,-0.52744097,-10.034037,5144,0,32,1,1
967704226,0.0030701854,0.01379152,0.17824209,5075,0,0.0589458,-1.0594019,-10.72624,5075,0,32,1,1
