timestamp,process_load,system_load,ram_usage,platform[0],platform[1],platform[2],platform[3],platform[4]
995806353,0.52,0.21020472,0.22881144,80,79,83,73,88
996306326,0.56,0.21024005,0.22877683,80,79,83,73,88
996806239,0.52,0.21026894,0.22885677,80,79,83,73,88
997306443,0.5,0.21029525,0.22882673,80,79,83,73,88
997806617,0.52,0.21032955,0.22881247,80,79,83,73,88
998307243,0.6,0.21036536,0.22885728,80,79,83,73,88
998806626,0.5,0.21039392,0.22890005,80,79,83,73,88
999306367,0.58,0.21043848,0.22883895,80,79,83,73,88
999806249,0.6,0.21047673,0.22880891,80,79,83,73,88
1000306437,0.52,0.21050338,0.22884455,80,79,83,73,88
1000806636,0.54,0.21053392,0.22893722,80,79,83,73,88
1001306575,0.52,0.210555,0.22882926,80,79,83,73,88
1001807178,0.54,0.21058923,0.22887866,80,79,83,73,88
1002306692,0.54,0.2106047,0.22885779,80,79,83,73,88
1002806685,0.48,0.21061881,0.22891736,80,79,83,73,88
1003306614,0.58,0.21065812,0.2288252,80,79,83,73,88
1003806630,0.54,0.21068566,0.22880788,80,79,83,73,88
1004306249,0.54,0.21071063,0.22883691,80,79,83,73,88
1004806889,0.48,0.21072894,0.2288644,80,79,83,73,88
1005306271,0.56,0.21075521,0.22884098,80,79,83,73,88
1005806429,0.48,0.21077348,0.22891024,80,79,83,73,88
1006306560,0.6,0.21080525,0.22885372,80,79,83,73,88
1006806544,0.5,0.21082455,0.228842,80,79,83,73,88
1007306058,0.54,0.21084619,0.22883742,80,79,83,73,88
1007806446,0.58,0.21087532,0.22886339,80,79,83,73,88
1008306569,0.52,0.21089382,0.22885983,80,79,83,73,88
1008806556,0.5,0.21090972,0.22889191,80,79,83,73,88
1009306287,0.48,0.21091726,0.22892602,80,79,83,73,88
1009806430,0.54,0.21093419,0.2289031,80,79,83,73,88
1010306947,0.52,0.21094911,0.22885779,80,79,83,73,88
1010806243,0.48,0.21097045,0.22888578,80,79,83,73,88
1011306770,0.52,0.21099405,0.22889598,80,79,83,73,88
1011806942,0.54,0.21101522,0.22893417,80,79,83,73,88
1012306742,0.52,0.21102855,0.2288639,80,79,83,73,88
1012806541,0.48,0.21104324,0.22888528,80,79,83,73,88
1013306378,0.52,0.21106476,0.22889802,80,79,83,73,88
