timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
970544413,970542665,0,nan,nan,-0.2582842,-0.28331354,-1.2224071,-0.27849692,-0.32491705,-0.13116442,-0.0022073595,0.014454788,-0.00085205515,-0.0016560036,-1.10827386e-07,-1.1289725e-05,0.00077675283,1.2824866,-0.55094403,-0.1513879,1.7431175,1.5455221,nan,1.1859491,0.0049019963,0.0034169056,0.028775174,0.019695936,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
970645652,970644235,0,nan,nan,-0.25548422,-0.28236055,-1.2234038,-0.27849692,-0.32491705,-0.13116442,-0.0022554984,0.006954362,-0.0013969461,-0.0029304482,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.868646,0.104423665,0.2341577,1.7439182,1.5455221,nan,1.1869458,0.0051203263,0.003563563,0.029359732,0.019940043,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
970751821,970751063,0,nan,nan,-0.25253445,-0.28191587,-1.2247032,-0.27849692,-0.32491705,-0.13116442,-0.00166166,-0.00079424237,-0.00017425555,-0.0025535235,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.15757746,0.27588135,-0.23591343,1.7449816,1.5455221,nan,1.1882452,0.0057089166,0.0039602546,0.030403841,0.020744966,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
970842851,970842030,0,nan,nan,-0.24962065,-0.28205672,-1.225899,-0.27849692,-0.32491705,-0.13116442,-0.0011173827,-0.008509748,-0.00032446062,-0.003334963,-1.10827386e-07,-1.1289725e-05,0.00077675283,-1.2806815,-0.095526785,0.17449325,1.745397,1.5455221,nan,1.189441,0.005456709,0.0037986191,0.029375408,0.020127263,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
970955111,970950790,0,nan,nan,-0.24549603,-0.2823693,-1.2271141,-0.27849692,-0.32491705,-0.13116442,0.0028040446,-0.009926779,0.0027640304,-0.0009639329,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.406238,-0.6049862,0.018431678,1.7468736,1.5455221,nan,1.1906561,0.005494064,0.0038271344,0.029659484,0.02029617,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971038921,971037854,0,nan,nan,-0.2411277,-0.28226423,-1.228121,-0.27849692,-0.32491705,-0.13116442,0.0067623295,-0.005743887,0.004976826,0.0007183336,-1.10827386e-07,-1.1289725e-05,0.00077675283,-1.8891498,0.42777836,0.27195355,1.7484597,1.5455221,nan,1.191663,0.0053638807,0.0037387116,0.02947291,0.020190263,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971147028,971145267,0,nan,nan,-0.23627497,-0.2820985,-1.2289795,-0.27849692,-0.32491705,-0.13116442,0.023443047,-0.012944821,0.0017124943,-0.0029493768,-1.10827386e-07,-1.1289725e-05,0.00077675283,1.8108416,-0.14391491,-0.42124078,1.7493961,1.5455221,nan,1.1925215,0.005236843,0.0036565934,0.028911727,0.01992718,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971252866,971251403,0,nan,nan,-0.2319138,-0.28187978,-1.2295773,-0.27849692,-0.32491705,-0.13116442,0.0063683623,-0.007104682,0.005849323,0.0009396556,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.47422877,-0.73320466,-0.043601185,1.7497591,1.5455221,nan,1.1931193,0.0048783966,0.0034107685,0.028502703,0.019664865,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971353806,971351162,0,nan,nan,-0.22979364,-0.2810179,-1.2295923,-0.27849692,-0.32491705,-0.13116442,-0.0012941032,-0.0009225302,0.009870193,0.005001333,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.03064507,-0.2614563,0.18184452,1.7486012,1.5455221,nan,1.1931343,0.0051195673,0.0035757357,0.029261936,0.020178363,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971452440,971450983,0,nan,nan,-0.22907245,-0.2790803,-1.2265046,-0.27849692,-0.32491705,-0.13116442,0.00011340146,0.024383735,0.11172523,0.10708783,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.5415954,0.60642326,1.6206924,1.749883,1.5455221,nan,1.1900465,0.004925089,0.0034445552,0.028457008,0.019626338,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
