timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
1090381316,1090373106,12,4,1,0,0,0,3,0,0,0,0,0,0
1091389140,1091381106,12,4,1,0,0,0,3,0,0,0,0,0,0
1092389752,1092381107,12,4,1,0,0,0,3,0,0,0,0,0,0
1093397396,1093389265,12,4,1,0,0,0,3,0,0,0,0,0,0
1094405149,1094397260,12,4,1,0,0,0,3,0,0,0,0,0,0
1095413138,1095405107,12,4,1,0,0,0,3,0,0,0,0,0,0
1096421586,1096413106,12,4,1,0,0,0,3,0,0,0,0,0,0
1097429145,1097421127,12,4,1,0,0,0,3,0,0,0,0,0,0
1098429160,1098421107,12,4,1,0,0,0,3,0,0,0,0,0,0
1099429261,1099425126,12,4,1,0,0,0,3,0,0,0,0,0,0
1100433138,1100425107,12,4,1,0,0,0,3,0,0,0,0,0,0
1100685324,1100677108,13,1,1,0,0,0,3,0,0,0,0,0,0
1101693138,1101685125,13,1,1,0,0,0,3,0,0,0,0,0,0
1102693141,1102685107,13,1,1,0,0,0,3,0,0,0,0,0,0
1103693167,1103689106,13,1,1,0,0,0,3,0,0,0,0,0,0
1104697140,1104689106,13,1,1,0,0,0,3,0,0,0,0,0,0
1105697146,1105689108,13,1,1,0,0,0,3,0,0,0,0,0,0
1106705147,1106697107,13,1,1,0,0,0,3,0,0,0,0,0,0
1107705151,1107701110,13,1,1,0,0,0,3,0,0,0,0,0,0
1108065230,1108061272,14,4,1,0,0,0,3,0,0,0,0,0,0
1108145138,1108138204,15,6,1,0,0,0,3,0,0,0,0,0,0
1109149134,1109141107,15,6,1,0,0,0,3,0,0,0,0,0,0
1110149139,1110141106,15,6,1,0,0,0,3,0,0,0,0,0,0
1111081137,1111077106,16,6,3,0,0,0,3,0,0,0,0,0,0
