timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1002763827,6.4028427e-09,0.0,-1.6763806e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1002962362,8.381903e-09,-3.7252903e-09,-1.9092113e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1003160931,2.4447218e-08,6.9849193e-09,1.8626451e-09,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1003365574,-1.21071935e-08,-1.8626451e-09,1.1175871e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1003564164,-1.9557774e-08,2.188608e-08,1.7695129e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1003762682,2.9802322e-08,3.7252903e-09,-1.7695129e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1003961293,1.3038516e-08,1.3969839e-09,-1.4901161e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1004165850,1.3969839e-08,1.8626451e-09,9.313226e-10,0.0,0.0,2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1004364419,-9.313226e-10,-3.7252903e-09,-9.546056e-09,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1004562993,-1.1175871e-08,4.8894435e-09,-1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1004767604,-1.4901161e-08,0.0,-1.3504177e-08,0.0,0.0,2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1004966161,1.3038516e-08,5.5879354e-09,1.8626451e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1005164735,-4.656613e-09,-2.0489097e-08,6.7520887e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1005363307,-1.9790605e-08,7.450581e-09,-9.080395e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1005561941,1.2572855e-08,-1.1175871e-08,-1.5366822e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1005760454,2.7939677e-09,1.0244548e-08,1.071021e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1005959024,1.8626451e-09,-3.7252903e-09,-1.9092113e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1006163661,-1.3038516e-08,3.7252903e-09,1.6530976e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1006362186,-1.3969839e-08,-7.450581e-09,9.313226e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
