timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
997164788,0.0061465534,0.018969167,0.0018439173,0.0
997364814,0.006325234,0.019446354,0.0012129252,0.0
997564883,0.006145205,0.019828238,0.0007769929,0.0
997767445,0.0062522995,0.019786475,0.00061083207,0.0
997966258,0.0064659645,0.02013686,0.00070805894,0.0
998166368,0.0068903035,0.019923883,0.00083133014,0.0
998366385,0.006909237,0.019874603,0.0008242445,0.0
998565199,0.0073557054,0.019824995,0.0010599612,0.0
998764104,0.0076355236,0.01992495,0.0011966965,0.0
998964071,0.007835166,0.020330388,0.0014173657,0.0
999166632,0.008142173,0.020273192,0.0012518205,0.0
999367945,0.00814669,0.020451456,0.0012459852,0.0
999566761,0.008115538,0.020548379,0.00096132024,0.0
999765624,0.008088105,0.02106153,0.0002768125,0.0
999965622,0.008080703,0.020956509,0.00025334003,0.0
1000164427,0.00800295,0.021190101,0.0006550564,0.0
1000364313,0.007805667,0.021211002,0.002087005,0.0
1000567414,0.0076724975,0.022632828,0.0029094268,0.0
1000765941,0.007696614,0.020906113,0.0032954146,0.0
1000966073,0.0074194344,0.02113856,0.0031127196,0.0
1001166111,0.0074055316,0.021639775,0.003510709,0.0
1001364731,0.007393526,0.021753788,0.0040061055,0.0
1001564770,0.0073447335,0.0217447,0.0044615776,0.0
1001764858,0.007217663,0.02179676,0.0050974367,0.0
1001966490,0.007023831,0.0216192,0.0058915885,0.0
1002166524,0.0071079247,0.021730829,0.0062907515,0.0
1002366604,0.007119076,0.02132531,0.007095514,0.0
1002565180,0.0071727736,0.021309316,0.0074600996,0.0
1002765262,0.0068538263,0.021260377,0.007955984,0.0
1002965346,0.007205939,0.021023834,0.007755419,0.0
1003163919,0.0071710367,0.020644506,0.008035742,0.0
1003367009,0.0070273606,0.020532506,0.0084657185,0.0
1003567100,0.006968148,0.02028283,0.008643646,0.0
1003767193,0.0070466567,0.020101951,0.008680308,0.0
1003965744,0.007132538,0.019695658,0.008067236,0.0
1004165828,0.007232868,0.019402573,0.007699103,0.0
1004364396,0.0070645744,0.019455208,0.0071577537,0.0
1004564476,0.007216218,0.019321822,0.0070552113,0.0
1004767581,0.0070066424,0.01920722,0.007085889,0.0
1004966137,0.006990638,0.019173365,0.0067209247,0.0
1005166216,0.0069743185,0.019048978,0.006362612,0.0
1005366337,0.0072716866,0.01899386,0.0055169472,0.0
1005564865,0.0070958966,0.019331248,0.0046043945,0.0
1005764989,0.006846948,0.019432679,0.0035040893,0.0
1005963513,0.0067364806,0.019400889,0.002831824,0.0
1006166599,0.0067763375,0.019430375,0.0029337697,0.0
1006366728,0.0066950535,0.019364048,0.0030966392,0.0
1006566755,0.0068010236,0.019524459,0.0018928889,0.0
