timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
1092565519,0.0,0.99748504,-0.05729541,0.041653622,0.0023925786,0.0,0.0,-0.46591297,0,0
1092615165,0.0,0.9975176,-0.05557356,0.04317937,0.0024056027,0.0,0.0,-0.4651737,0,0
1092664918,0.0,0.9973291,-0.05866911,0.043429065,0.0025547685,0.0,0.0,-0.46710575,0,0
1092714320,0.0,0.99746114,-0.057987142,0.04126697,0.0023990443,0.0,0.0,-0.4642387,0,0
1092758219,0.0,0.9975416,-0.05691944,0.040810432,0.0023286317,0.0,0.0,-0.4645916,0,0
1092808587,0.0,0.9973728,-0.059292957,0.041541673,0.0024696167,0.0,0.0,-0.46704677,0,0
1092866386,0.0,0.9972949,-0.05778746,0.045349304,0.002627729,0.0,0.0,-0.46533152,0,0
1092915800,0.0,0.9974446,-0.05916557,0.039974082,0.0023711484,0.0,0.0,-0.46650353,0,0
1092955291,0.0,0.99727976,-0.05919824,0.043839667,0.0026023102,0.0,0.0,-0.4668813,0,0
1093010772,0.0,0.997507,-0.05825514,0.039757706,0.0023218791,0.0,0.0,-0.4650072,0,0
1093060345,0.0,0.9975004,-0.05739395,0.041149657,0.0023676595,0.0,0.0,-0.464393,0,0
1093109999,0.0,0.9975038,-0.057800103,0.040493734,0.0023463988,0.0,0.0,-0.46633083,0,0
1093159716,0.0,0.99740523,-0.05815522,0.04236382,0.0024700866,0.0,0.0,-0.46518806,0,0
1093209239,0.0,0.9974419,-0.05898562,0.040307235,0.002383645,0.0,0.0,-0.4673987,0,0
1093258947,0.0,0.997326,-0.058341734,0.043937117,0.0025702403,0.0,0.0,-0.4653978,0,0
1093313023,0.0,0.99741817,-0.05823248,0.041952137,0.0024493008,0.0,0.0,-0.4662932,0,0
1093362997,0.0,0.99733907,-0.057927635,0.044188563,0.0025665683,0.0,0.0,-0.4648285,0,0
1093415337,0.0,0.99740154,-0.059513904,0.040526755,0.002418189,0.0,0.0,-0.46454158,0,0
1093464977,0.0,0.99735135,-0.059013363,0.042442266,0.0025113118,0.0,0.0,-0.4643259,0,0
1093514650,0.0,0.9974353,-0.058668036,0.040927865,0.0024073315,0.0,0.0,-0.46363077,0,0
1093564020,0.0,0.99726397,-0.060402997,0.042537216,0.0025764245,0.0,0.0,-0.46520373,0,0
1093613853,0.0,0.9973314,-0.05916281,0.042702112,0.0025331369,0.0,0.0,-0.4635803,0,0
1093663452,0.0,0.9973853,-0.061112974,0.038498454,0.002358923,0.0,0.0,-0.46487856,0,0
1093707445,0.0,0.99729574,-0.06130698,0.040454533,0.0024868706,0.0,0.0,-0.46613225,0,0
1093765581,0.0,0.9973705,-0.057937868,0.04346137,0.0025246977,0.0,0.0,-0.46698263,0,0
1093815384,0.0,0.99746555,-0.056802005,0.04278028,0.0024361801,0.0,0.0,-0.46589717,0,0
1093865231,0.0,0.99726784,-0.060441684,0.042392004,0.0025692633,0.0,0.0,-0.4668051,0,0
1093914593,0.0,0.9972453,-0.061003756,0.042114656,0.002576249,0.0,0.0,-0.4678405,0,0
1093964044,0.0,0.99717426,-0.062497385,0.041601785,0.0026073705,0.0,0.0,-0.4698028,0,0
1094008082,0.0,0.99739695,-0.06091543,0.038511947,0.0023520945,0.0,0.0,-0.46936336,0,0
1094057560,0.0,0.9972294,-0.062669165,0.03999828,0.0025136233,0.0,0.0,-0.4714889,0,0
1094116247,0.0,0.9971153,-0.065272726,0.038653478,0.0025303166,0.0,0.0,-0.4723583,0,0
1094156719,0.0,0.9971925,-0.06462224,0.037750173,0.0024463688,0.0,0.0,-0.47392845,0,0
1094206717,0.0,0.9973238,-0.06360985,0.03596774,0.0022940417,0.0,0.0,-0.4723012,0,0
1094255904,0.0,0.9972074,-0.06515361,0.03642511,0.0023798735,0.0,0.0,-0.4718337,0,0
1094308710,0.0,0.99706423,-0.06722176,0.036579307,0.0024661657,0.0,0.0,-0.4711744,0,0
1094358331,0.0,0.99713355,-0.06578112,0.037303112,0.0024608944,0.0,0.0,-0.47041306,0,0
1094408018,0.0,0.99697083,-0.06797324,0.037711788,0.002571181,0.0,0.0,-0.47122523,0,0
1094457959,0.0,0.9971708,-0.068455264,0.030979786,0.0021267463,0.0,0.0,-0.46984497,0,0
1094511723,0.0,0.9971424,-0.068401895,0.03199075,0.0021944987,0.0,0.0,-0.46802008,0,0
1094562220,0.0,0.99713314,-0.069345824,0.03020398,0.0021005417,0.0,0.0,-0.4681368,0,0
1094614048,0.0,0.9971687,-0.067982934,0.03206486,0.0021860525,0.0,0.0,-0.4684627,0,0
1094663672,0.0,0.99733484,-0.06690202,0.029042168,0.0019481716,0.0,0.0,-0.46762198,0,0
1094713276,0.0,0.9974388,-0.06601279,0.027474912,0.0018183528,0.0,0.0,-0.4654547,0,0
1094763220,0.0,0.9973438,-0.06468822,0.03340905,0.002166928,0.0,0.0,-0.46602857,0,0
1094806281,0.0,0.99736035,-0.06499593,0.032302927,0.0021051157,0.0,0.0,-0.46470806,0,0
1094856093,0.0,0.9972999,-0.06372176,0.03642911,0.0023276124,0.0,0.0,-0.4655072,0,0
1094916324,0.0,0.9974268,-0.061972275,0.035976633,0.002235306,0.0,0.0,-0.46709254,0,0
1094965807,0.0,0.99749416,-0.06266096,0.032782175,0.002059323,0.0,0.0,-0.46892825,0,0
1095015573,0.0,0.9974174,-0.06186273,0.03642129,0.0022589543,0.0,0.0,-0.46905184,0,0
1095062223,0.0,0.99781024,-0.055390045,0.036091585,0.0020035016,0.0,0.0,-0.46936312,0,0
1095110340,0.0,0.99760467,-0.05736534,0.03858916,0.0022189955,0.0,0.0,-0.47165,0,0
1095160012,0.0,0.9977052,-0.05611128,0.037831835,0.0021276753,0.0,0.0,-0.47183695,0,0
1095209590,0.0,0.9977209,-0.056451138,0.03690364,0.0020880112,0.0,0.0,-0.47224456,0,0
1095259481,0.0,0.99757576,-0.05656178,0.040473804,0.0022948338,0.0,0.0,-0.47185928,0,0
1095308658,0.0,0.99754876,-0.05519837,0.04294111,0.0023761038,0.0,0.0,-0.4733371,0,0
1095358456,0.0,0.9974103,-0.056921758,0.04389027,0.0025047981,0.0,0.0,-0.47425833,0,0
1095417216,0.0,0.99759924,-0.05670693,0.03968611,0.0022558935,0.0,0.0,-0.47477844,0,0
1095465192,0.0,0.9975033,-0.05879815,0.039046034,0.002301581,0.0,0.0,-0.4735654,0,0
1095514906,0.0,0.99730504,-0.059892815,0.0422974,0.0025401562,0.0,0.0,-0.47374555,0,0
1095564371,0.0,0.99727184,-0.06166105,0.040502388,0.0025042517,0.0,0.0,-0.47379452,0,0
1095614473,0.0,0.9971633,-0.06356178,0.04023205,0.0025644952,0.0,0.0,-0.4742065,0,0
1095663770,0.0,0.9971225,-0.06439316,0.03991989,0.0025779863,0.0,0.0,-0.47493747,0,0
1095707759,0.0,0.997136,-0.064646006,0.039169714,0.0025394384,0.0,0.0,-0.47240373,0,0
1095767852,0.0,0.99736226,-0.063618444,0.0348762,0.002224638,0.0,0.0,-0.47290605,0,0
1095818358,0.0,0.99724376,-0.06424501,0.03703533,0.0023859108,0.0,0.0,-0.4720856,0,0
1095856236,0.0,0.99717766,-0.065256506,0.03704685,0.0024243908,0.0,0.0,-0.4744616,0,0
1095905985,0.0,0.9972392,-0.06468603,0.036389988,0.0023604406,0.0,0.0,-0.47375128,0,0
1095955754,0.0,0.9972445,-0.064813115,0.036018237,0.0023409042,0.0,0.0,-0.47315526,0,0
1096012641,0.0,0.997168,-0.06563728,0.03663127,0.0024112056,0.0,0.0,-0.47200462,0,0
1096062310,0.0,0.99720705,-0.063895404,0.03859234,0.0024727795,0.0,0.0,-0.47242954,0,0
1096118032,0.0,0.9970462,-0.066629946,0.03811661,0.002547232,0.0,0.0,-0.47240153,0,0
1096168364,0.0,0.9969804,-0.06707476,0.039040294,0.0026265495,0.0,0.0,-0.47310707,0,0
1096211169,0.0,0.9973189,-0.06370494,0.035936147,0.0022954647,0.0,0.0,-0.47306627,0,0
1096260832,0.0,0.9972431,-0.06356421,0.03820834,0.0024353974,0.0,0.0,-0.47330087,0,0
1096310716,0.0,0.9970989,-0.064621985,0.040136702,0.0026012599,0.0,0.0,-0.47443813,0,0
1096359933,0.0,0.9972934,-0.062620856,0.038453735,0.0024145409,0.0,0.0,-0.47519562,0,0
1096409767,0.0,0.9973518,-0.06301278,0.036242925,0.0022898316,0.0,0.0,-0.47441813,0,0
1096466902,0.0,0.9972711,-0.06300015,0.038411185,0.002426532,0.0,0.0,-0.47565556,0,0
1096516735,0.0,0.9975597,-0.0589441,0.03735442,0.002207209,0.0,0.0,-0.47501358,0,0
1096566219,0.0,0.9974769,-0.062410716,0.033767913,0.0021128105,0.0,0.0,-0.4744248,0,0
1096609735,0.0,0.9974014,-0.06258069,0.035623763,0.002235168,0.0,0.0,-0.4755459,0,0
1096665287,0.0,0.9975805,-0.05899303,0.036717247,0.0021713148,0.0,0.0,-0.47573712,0,0
1096714961,0.0,0.9976153,-0.058871083,0.0359641,0.0021223067,0.0,0.0,-0.47539407,0,0
1096764665,0.0,0.99754417,-0.06093354,0.034471374,0.0021056337,0.0,0.0,-0.4747883,0,0
1096808324,0.0,0.99741775,-0.06297917,0.034450024,0.0021752508,0.0,0.0,-0.47624063,0,0
1096857720,0.0,0.99763733,-0.05974756,0.03385173,0.0020273486,0.0,0.0,-0.47505033,0,0
1096907338,0.0,0.9976033,-0.059046783,0.03600917,0.0021313338,0.0,0.0,-0.47443578,0,0
1096964638,0.0,0.9975496,-0.059356738,0.0369699,0.0021998032,0.0,0.0,-0.4746823,0,0
1097014671,0.0,0.99748623,-0.058106404,0.040488478,0.0023585688,0.0,0.0,-0.47476998,0,0
1097063778,0.0,0.99752074,-0.058466695,0.03909873,0.002291655,0.0,0.0,-0.4747374,0,0
1097113588,0.0,0.997464,-0.060003646,0.03820795,0.0022984447,0.0,0.0,-0.47593954,0,0
1097163052,0.0,0.99748033,-0.062249593,0.03396241,0.0021194867,0.0,0.0,-0.47648725,0,0
1097212963,0.0,0.9974575,-0.062210575,0.034694675,0.0021638775,0.0,0.0,-0.47654527,0,0
1097262454,0.0,0.9974372,-0.061680287,0.036187448,0.0022377868,0.0,0.0,-0.4760545,0,0
1097312079,0.0,0.99736774,-0.059553094,0.04129037,0.002465459,0.0,0.0,-0.47565416,0,0
1097355772,0.0,0.99735564,-0.060940914,0.03952392,0.0024150102,0.0,0.0,-0.47733745,0,0
1097403830,0.0,0.99725145,-0.062051415,0.04040794,0.0025142806,0.0,0.0,-0.47666368,0,0
1097460924,0.0,0.9972676,-0.06146494,0.040901896,0.0025209205,0.0,0.0,-0.4774692,0,0
1097510665,0.0,0.9972545,-0.061792087,0.0407292,0.002523671,0.0,0.0,-0.47638014,0,0
1097560342,0.0,0.9971821,-0.06292245,0.040768616,0.0025725104,0.0,0.0,-0.4764647,0,0
1097609744,0.0,0.9970746,-0.06463516,0.040712785,0.0026391977,0.0,0.0,-0.47683057,0,0
1097659413,0.0,0.9970899,-0.061895106,0.04441912,0.0027573504,0.0,0.0,-0.47539932,0,0
1097708983,0.0,0.99707514,-0.06481699,0.040410507,0.0026269709,0.0,0.0,-0.4767921,0,0
1097758761,0.0,0.99704677,-0.06402745,0.042317804,0.0027175264,0.0,0.0,-0.47684965,0,0
1097815820,0.0,0.9971045,-0.06269506,0.04294918,0.002700521,0.0,0.0,-0.47680345,0,0
1097865544,0.0,0.9972448,-0.06197944,0.04068269,0.002528457,0.0,0.0,-0.4755392,0,0
1097915151,0.0,0.9970525,-0.06656113,0.038073026,0.0025416755,0.0,0.0,-0.47628304,0,0
1097964637,0.0,0.99727446,-0.06325396,0.037906565,0.0024042935,0.0,0.0,-0.47719833,0,0
1098014371,0.0,0.9971177,-0.0648233,0.03933933,0.0025574765,0.0,0.0,-0.4769905,0,0
1098058242,0.0,0.99710053,-0.065017976,0.039453875,0.0025726706,0.0,0.0,-0.47855583,0,0
1098110743,0.0,0.9972926,-0.062272172,0.0390361,0.0024374623,0.0,0.0,-0.4767058,0,0
1098160249,0.0,0.9973055,-0.06292402,0.03763866,0.0023747748,0.0,0.0,-0.4760141,0,0
1098210004,0.0,0.99731576,-0.064130135,0.035262752,0.002267491,0.0,0.0,-0.47711644,0,0
1098259946,0.0,0.9971617,-0.06370239,0.040049225,0.0025584933,0.0,0.0,-0.47813526,0,0
1098309292,0.0,0.9972925,-0.060880404,0.04116868,0.00251317,0.0,0.0,-0.47834244,0,0
1098358892,0.0,0.99714524,-0.06260864,0.042125724,0.0026449852,0.0,0.0,-0.4793366,0,0
1098416028,0.0,0.9970072,-0.065006286,0.041754518,0.0027224543,0.0,0.0,-0.4809651,0,0
1098462750,0.0,0.99709535,-0.06648294,0.03707848,0.0024722675,0.0,0.0,-0.48020694,0,0
1098512115,0.0,0.9971065,-0.06726567,0.035330944,0.002383456,0.0,0.0,-0.48101872,0,0
1098564954,0.0,0.9969585,-0.0689323,0.036273856,0.0025080687,0.0,0.0,-0.48094898,0,0
1098614776,0.0,0.997057,-0.06560289,0.03958149,0.0026043244,0.0,0.0,-0.48133227,0,0
1098664079,0.0,0.9970998,-0.06524861,0.039089963,0.0025579843,0.0,0.0,-0.48065424,0,0
1098713894,0.0,0.9972786,-0.06349789,0.037386227,0.002380425,0.0,0.0,-0.48089352,0,0
1098767982,0.0,0.99717706,-0.065962784,0.03579376,0.0023677398,0.0,0.0,-0.47938338,0,0
1098807495,0.0,0.997212,-0.064504385,0.037438072,0.0024216713,0.0,0.0,-0.48118764,0,0
1098856938,0.0,0.9970945,-0.0664737,0.037115496,0.0024743935,0.0,0.0,-0.4799642,0,0
1098910840,0.0,0.9971463,-0.066958845,0.03478945,0.002336128,0.0,0.0,-0.48032808,0,0
1098963470,0.0,0.9973708,-0.06376604,0.034361042,0.0021968435,0.0,0.0,-0.48134822,0,0
1099010096,0.0,0.9973756,-0.064481534,0.032855786,0.0021241663,0.0,0.0,-0.47987536,0,0
1099059728,0.0,0.99708694,-0.067083046,0.036215432,0.0024365392,0.0,0.0,-0.47946915,0,0
1099109457,0.0,0.997173,-0.06537704,0.036958523,0.002423089,0.0,0.0,-0.48018384,0,0
1099162113,0.0,0.99720347,-0.06755494,0.031889398,0.002160328,0.0,0.0,-0.4788102,0,0
1099211561,0.0,0.9972364,-0.066467986,0.033116728,0.002207302,0.0,0.0,-0.4775176,0,0
1099261279,0.0,0.9971519,-0.06588159,0.036630806,0.0024201884,0.0,0.0,-0.4774745,0,0
1099310719,0.0,0.99719036,-0.0647919,0.03751585,0.0024375722,0.0,0.0,-0.47728235,0,0
1099364959,0.0,0.99735194,-0.064183444,0.034129076,0.0021963378,0.0,0.0,-0.47685975,0,0
1099414743,0.0,0.99732107,-0.06389096,0.035544086,0.0022770455,0.0,0.0,-0.47586882,0,0
1099464346,0.0,0.9972362,-0.063995324,0.037665825,0.0024171171,0.0,0.0,-0.4751769,0,0
1099514045,0.0,0.99719954,-0.063347206,0.039671715,0.0025201498,0.0,0.0,-0.47638646,0,0
1099563558,0.0,0.99723965,-0.06263927,0.03978975,0.0024992998,0.0,0.0,-0.47816283,0,0
1099616056,0.0,0.99726063,-0.063743636,0.037446726,0.0023935472,0.0,0.0,-0.47710937,0,0
1099666083,0.0,0.9972122,-0.06070709,0.04330903,0.0026365153,0.0,0.0,-0.47910297,0,0
1099715325,0.0,0.99724704,-0.060871217,0.04226545,0.0025798518,0.0,0.0,-0.48143983,0,0
1099765121,0.0,0.99748856,-0.060368113,0.036976766,0.0022378375,0.0,0.0,-0.48097274,0,0
1099814744,0.0,0.9971652,-0.06223813,0.04220284,0.002634093,0.0,0.0,-0.48315364,0,0
1099858166,0.0,0.99746484,-0.0594491,0.039042696,0.0023269523,0.0,0.0,-0.484876,0,0
1099907971,0.0,0.99728477,-0.06115673,0.04094709,0.0025110082,0.0,0.0,-0.48411322,0,0
1099968152,0.0,0.9973157,-0.06255696,0.037978582,0.0023822193,0.0,0.0,-0.4840189,0,0
1100007181,0.0,0.9972682,-0.061420668,0.040954534,0.0025223452,0.0,0.0,-0.48422363,0,0
1100062906,0.0,0.9970845,-0.06668128,0.03701439,0.002475384,0.0,0.0,-0.4836379,0,0
1100112507,0.0,0.9971821,-0.06401502,0.03903446,0.0025058528,0.0,0.0,-0.4833614,0,0
1100167285,0.0,0.9970851,-0.06574342,0.038634457,0.002547387,0.0,0.0,-0.48494932,0,0
1100216321,0.0,0.9971445,-0.06565129,0.03723938,0.0024518145,0.0,0.0,-0.4836597,0,0
1100265937,0.0,0.9970248,-0.06665847,0.038620867,0.0025820902,0.0,0.0,-0.4826418,0,0
1100315586,0.0,0.99700403,-0.06620025,0.039918534,0.002650558,0.0,0.0,-0.4821942,0,0
1100365353,0.0,0.99692655,-0.06794606,0.038908217,0.0026518106,0.0,0.0,-0.48186448,0,0
1100414824,0.0,0.9968602,-0.06824253,0.040063463,0.0027426432,0.0,0.0,-0.48249385,0,0
1100454009,0.0,0.996911,-0.06959913,0.036303565,0.0025345255,0.0,0.0,-0.48173076,0,0
1100517137,0.0,0.99686116,-0.07074269,0.035454612,0.002516052,0.0,0.0,-0.48207498,0,0
1100566950,0.0,0.9969452,-0.06966063,0.035235696,0.0024620618,0.0,0.0,-0.48300764,0,0
1100610366,0.0,0.9970176,-0.06738721,0.0375283,0.0025364922,0.0,0.0,-0.48275742,0,0
1100660060,0.0,0.9970721,-0.06641677,0.037812278,0.0025187444,0.0,0.0,-0.4819246,0,0
1100709802,0.0,0.99679655,-0.07027738,0.038085435,0.002685146,0.0,0.0,-0.48352966,0,0
1100759015,0.0,0.9972148,-0.06617907,0.03431834,0.0022774988,0.0,0.0,-0.48741138,0,0
1100802639,0.0,0.99731857,-0.06343421,0.03642009,0.0023164912,0.0,0.0,-0.48535544,0,0
1100861691,0.0,0.9979603,-0.05658167,0.029510727,0.0016731789,0.0,0.0,-0.479643,0,0
1100911142,0.0,0.9983617,-0.051836837,0.024191687,0.0012560782,0.0,0.0,-0.48052618,0,0
1100960541,0.0,0.9985852,-0.04859235,0.021567259,0.0010494886,0.0,0.0,-0.4857116,0,0
1101008877,0.0,0.99866134,-0.049437072,0.015196812,0.000752293,0.0,0.0,-0.49288088,0,0
1101058719,0.0,0.9988181,-0.046377324,0.014528141,0.0006745736,0.0,0.0,-0.49887046,0,0
1101107927,0.0,0.9991861,-0.038891796,0.010694253,0.0004162575,0.0,0.0,-0.50663745,0,0
1101157703,0.0,0.999405,-0.03292613,0.010263535,0.0003381397,0.0,0.0,-0.50996685,0,0
1101216621,0.0,0.9995043,-0.030059742,0.009350315,0.00028120747,0.0,0.0,-0.5147411,0,0
1101260095,0.0,0.999456,-0.03252591,0.005458018,0.00017762362,0.0,0.0,-0.51691717,0,0
1101312531,0.0,0.99961483,-0.026833914,0.0070776106,0.00018999318,0.0,0.0,-0.51870817,0,0
1101362214,0.0,0.99972874,-0.023285571,0.00042942903,1.00022135e-05,0.0,0.0,-0.5209847,0,0
1101411858,0.0,0.9996996,-0.023906613,0.0053981184,0.00012908949,0.0,0.0,-0.51938,0,0
1101461593,0.0,0.9997321,-0.022898208,-0.0033673777,-7.7127566e-05,0.0,0.0,-0.5223094,0,0
1101506827,0.0,0.99977994,-0.020969285,0.0006401767,1.3427003e-05,0.0,0.0,-0.52258486,0,0
1101557059,0.0,0.9998478,-0.017426118,0.0007824296,1.3636785e-05,0.0,0.0,-0.52259505,0,0
1101605745,0.0,0.9998041,-0.019017654,-0.005484554,-0.00010432377,0.0,0.0,-0.52395815,0,0
1101663021,0.0,0.9998736,-0.015886169,-0.0006874824,-1.0922841e-05,0.0,0.0,-0.52425677,0,0
1101715744,0.0,0.9999159,-0.012937895,-0.0008519131,-1.1022888e-05,0.0,0.0,-0.5229684,0,0
1101759263,0.0,0.9998869,-0.014971219,-0.0014566426,-2.1810185e-05,0.0,0.0,-0.5250466,0,0
1101802955,0.0,0.9999117,-0.013275587,0.0005272097,6.9996368e-06,0.0,0.0,-0.52419436,0,0
1101852870,0.0,0.99997544,-0.0069450582,-0.0009540421,-6.6260413e-06,0.0,0.0,-0.52334005,0,0
1101915931,0.0,0.9999484,-0.010156305,0.00015854523,1.6103166e-06,0.0,0.0,-0.5223462,0,0
1101965341,0.0,0.9999664,-0.007996843,0.0017958136,1.4361321e-05,0.0,0.0,-0.52195626,0,0
1102015066,0.0,0.9999883,0.001457471,0.004615236,-6.7266524e-06,0.0,0.0,-0.52097857,0,0
1102059933,0.0,0.9999839,0.0004396818,0.0056562535,-2.486992e-06,0.0,0.0,-0.52271575,0,0
1102110423,0.0,0.99997914,0.0008888392,0.0064002373,-5.6889003e-06,0.0,0.0,-0.51950496,0,0
1102159170,0.0,0.9999656,0.0017281625,0.008111548,-1.4018557e-05,0.0,0.0,-0.51967484,0,0
1102207554,0.0,0.99995196,0.006804714,0.007061725,-4.8055328e-05,0.0,0.0,-0.5204426,0,0
1102257320,0.0,0.99992734,0.0093534365,0.007604562,-7.113396e-05,0.0,0.0,-0.51953787,0,0
1102306966,0.0,0.9998871,0.013288447,0.0070163663,-9.324714e-05,0.0,0.0,-0.5202848,0,0
1102356422,0.0,0.9998361,0.016704813,0.0069774874,-0.000116576724,0.0,0.0,-0.5191872,0,0
1102406023,0.0,0.9997854,0.017358372,0.011305334,-0.00019628432,0.0,0.0,-0.5198681,0,0
1102464943,0.0,0.99983954,0.014960247,0.009854053,-0.00014744276,0.0,0.0,-0.51765424,0,0
1102514403,0.0,0.99975824,0.018496102,0.011886454,-0.00021990623,0.0,0.0,-0.5194399,0,0
1102563943,0.0,0.9997267,0.021678366,0.008744944,-0.00018962791,0.0,0.0,-0.5183981,0,0
1102611894,0.0,0.99973875,0.021323053,0.008226346,-0.00017545663,0.0,0.0,-0.5212311,0,0
1102655695,0.0,0.9996533,0.02384531,0.011165245,-0.00026633107,0.0,0.0,-0.5181908,0,0
1102705421,0.0,0.999656,0.024154376,0.010216338,-0.0002468542,0.0,0.0,-0.5189448,0,0
1102762489,0.0,0.99966747,0.023623032,0.010337883,-0.00024429336,0.0,0.0,-0.52013457,0,0
1102807632,0.0,0.99963826,0.02473603,0.010556103,-0.00026121057,0.0,0.0,-0.5177218,0,0
1102861712,0.0,0.99966174,0.023430899,0.011283918,-0.00026448182,0.0,0.0,-0.5176243,0,0
1102906919,0.0,0.99952143,0.029575579,0.009061912,-0.00026813964,0.0,0.0,-0.5195904,0,0
1102961331,0.0,0.9996842,0.022273004,0.011630793,-0.00025913454,0.0,0.0,-0.5182042,0,0
1103010620,0.0,0.9997648,0.019702872,0.009066231,-0.00017867284,0.0,0.0,-0.51640564,0,0
1103060285,0.0,0.999575,0.027382351,0.009998017,-0.0002738856,0.0,0.0,-0.51843613,0,0
1103108377,0.0,0.9996853,0.023638248,0.008396974,-0.00019855222,0.0,0.0,-0.51741445,0,0
1103158311,0.0,0.9996731,0.023383144,0.01033554,-0.00024175647,0.0,0.0,-0.5173589,0,0
1103207722,0.0,0.9997756,0.018660784,0.010034317,-0.0001872903,0.0,0.0,-0.51806474,0,0
1103257304,0.0,0.9997667,0.020085672,0.007939249,-0.0001595024,0.0,0.0,-0.5177033,0,0
1103314776,0.0,0.99982655,0.016760573,0.008121107,-0.00013613804,0.0,0.0,-0.51857835,0,0
1103364006,0.0,0.99977374,0.019839363,0.007669977,-0.0001522019,0.0,0.0,-0.5172743,0,0
1103412244,0.0,0.99985904,0.01483006,0.007875854,-0.00011681587,0.0,0.0,-0.51839364,0,0
1103461770,0.0,0.99987,0.013100054,0.009393356,-0.00012306945,0.0,0.0,-0.5172297,0,0
1103511573,0.0,0.999903,0.011665153,0.007609696,-8.8776884e-05,0.0,0.0,-0.52018315,0,0
1103561178,0.0,0.99990684,0.010055016,0.009233125,-9.2847855e-05,0.0,0.0,-0.51843697,0,0
1103606143,0.0,0.9999361,0.009108752,0.0066927723,-6.09667e-05,0.0,0.0,-0.5165839,0,0
1103660584,0.0,0.99985653,0.01379102,0.009829816,-0.00013558262,0.0,0.0,-0.51939464,0,0
1103709862,0.0,0.9999612,0.0045223176,0.0075619905,-3.419905e-05,0.0,0.0,-0.5181647,0,0
1103759488,0.0,0.99995446,0.0050155204,0.008117306,-4.0714374e-05,0.0,0.0,-0.5174173,0,0
1103818099,0.0,0.999974,0.003955719,0.006032176,-2.3862214e-05,0.0,0.0,-0.51766324,0,0
1103862197,0.0,0.9999667,0.0039694947,0.007137277,-2.8332326e-05,0.0,0.0,-0.51697975,0,0
1103909896,0.0,0.9999758,-0.0010613066,0.006875508,7.297198e-06,0.0,0.0,-0.51842844,0,0
1103953495,0.0,0.99998313,0.00033851617,0.005803554,-1.9646297e-06,0.0,0.0,-0.5170319,0,0
1104016863,0.0,0.99996334,0.00048349088,0.008548682,-4.1333615e-06,0.0,0.0,-0.5173122,0,0
1104060423,0.0,0.9999784,0.0003574899,0.006561689,-2.3457885e-06,0.0,0.0,-0.5166842,0,0
1104110062,0.0,0.9999634,-0.004654873,0.007182358,3.343419e-05,0.0,0.0,-0.51793605,0,0
1104162704,0.0,0.9999516,-0.0063510938,0.0075180554,4.775019e-05,0.0,0.0,-0.51702124,0,0
