timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1009064189,1200.0,0.3020821,732.4136,0.0,17361,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010325158,1200.0,0.3020821,513.4814,0.0,17377,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011575178,1200.0,0.3020821,699.01685,0.0,17401,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012825179,1200.0,0.3020821,558.9441,0.0,17420,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013826135,1200.0,0.3020821,365.38272,0.0,17432,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014086240,1200.0,0.3020821,365.38272,0.0,17436,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015338703,1200.0,0.3020821,558.45435,0.0,17461,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016591205,1200.0,0.3020821,367.5299,0.0,17476,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017842137,1200.0,0.3020821,558.4415,0.0,17500,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018843359,1200.0,0.3020821,638.36163,0.0,17515,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019103134,1200.0,0.3020821,638.36163,0.0,17518,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020358163,1200.0,0.3020821,412.9573,0.0,17535,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021611142,1200.0,0.3020821,755.21155,0.0,17558,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022863137,1200.0,0.3020821,412.77408,0.0,17575,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023864397,1200.0,0.3020821,540.835,0.0,17590,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024114496,1200.0,0.3020821,540.835,0.0,17601,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025378136,1200.0,0.3020821,499.00348,0.0,17618,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026632137,1200.0,0.3020821,426.28674,0.0,17634,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027883135,1200.0,0.3020821,499.50998,0.0,17658,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028885461,1200.0,0.3020821,710.5689,0.0,17670,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029135182,1200.0,0.3020821,710.5689,0.0,17674,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030397180,1200.0,0.3020821,508.0697,0.0,17691,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031649211,1200.0,0.3020821,709.55536,0.0,17716,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032900206,1200.0,0.3020821,508.9929,0.0,17734,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033904155,1200.0,0.3020821,446.56815,0.0,17747,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034155137,1200.0,0.3020821,446.56815,0.0,17758,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035406244,1200.0,0.3020821,463.74774,0.0,17774,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036659255,1200.0,0.3020821,403.79266,0.0,17791,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037663376,1200.0,0.3020821,521.83887,0.0,17812,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037913209,1200.0,0.3020821,521.83887,0.0,17816,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039175151,1200.0,0.3020821,741.6828,0.0,17835,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040427136,1200.0,0.3020821,413.58722,0.0,17850,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041681538,1200.0,0.3020821,753.5006,0.0,17873,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042685195,1200.0,0.3020821,440.36932,0.0,17888,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042935822,1200.0,0.3020821,440.36932,0.0,17890,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044196138,1200.0,0.3020821,512.8046,0.0,17917,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045447136,1200.0,0.3020821,558.4415,0.0,17932,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046698728,1200.0,0.3020821,368.6612,0.0,17950,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047701182,1200.0,0.3020821,746.4444,0.0,17971,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047952136,1200.0,0.3020821,746.4444,0.0,17973,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049213482,1200.0,0.3020821,426.7211,0.0,17990,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050465180,1200.0,0.3020821,472.10916,0.0,18007,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051718136,1200.0,0.3020821,745.5202,0.0,18033,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052719456,1200.0,0.3020821,585.82837,0.0,18045,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052971512,1200.0,0.3020821,585.82837,0.0,18048,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054234159,1200.0,0.3020821,413.17368,0.0,18073,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055487137,1200.0,0.3020821,413.17368,0.0,18089,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056739137,1200.0,0.3020821,512.97406,0.0,18108,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057742156,1200.0,0.3020821,709.83,0.0,18128,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057992596,1200.0,0.3020821,709.83,0.0,18130,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059254868,1200.0,0.3020821,499.52896,0.0,18148,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060504258,1200.0,0.3020821,534.65344,0.0,18165,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061757200,1200.0,0.3020821,696.60474,0.0,18190,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
