timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1053028276,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1053534069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1054040070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1054546145,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1055053089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1055559107,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1056065089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1056572102,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1057078089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1057584130,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1058092087,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1058598089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1059104088,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1059611082,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1060118280,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1060625163,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1061132069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1061638272,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1062145962,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1062651373,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1063157352,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1063663071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1064171176,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1064677072,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1065183171,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1065690528,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1066197070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1066703271,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1067209184,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1067716074,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1068222070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1068730397,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1069236071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1069742069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1070248069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1070754106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1071261070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1071768069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1072274069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
