timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
999765771,3670026,3670026,6946858,2621450,0,0.27656597,0.34866217,0.4909745,0.0,3670026,3670026,6684714,2621450,0,0.006321389,0.0035945154,0.006745918,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
999965830,3670026,3670026,6946858,2621450,0,0.35919246,0.4589865,0.62537706,0.0,3670026,3670026,6684714,2621450,0,0.0064247833,0.0054935827,0.0055192593,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1000160832,3670026,3670026,6946858,2621450,0,0.30916896,0.34277996,0.5096423,0.0,3670026,3670026,6684714,2621450,0,0.006918199,0.0032707762,0.0066560525,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1000361419,6946858,3670026,6946858,2621450,0,0.29130578,0.28332627,0.13926163,0.0,6684714,3670026,6684714,2621450,0,0.0063758623,0.0023192298,0.0046212007,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1000567589,6946858,3670026,6946858,2621450,0,0.2978615,0.1452862,0.26674876,0.0,6684714,3670026,6684714,2621450,0,0.011186337,0.0071110446,0.004789952,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1000763131,6946858,3670026,6946858,2621450,0,0.32980183,0.23408438,0.32722387,0.0,6684714,3670026,6684714,2621450,0,0.009923065,0.003318862,0.009156724,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1000963137,6946858,3670026,6946858,2621450,0,0.15057172,0.27274737,0.31736076,0.0,6684714,3670026,6684714,2621450,0,0.010982711,0.004785045,0.008768752,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1001166501,6946858,3670026,6946858,2621450,0,0.24397144,0.29655817,0.4213863,0.0,6684714,3670026,6684714,2621450,0,0.006244609,0.006440612,0.009742981,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1001358791,6946858,3670026,6946858,2621450,0,0.39068636,0.29246828,0.5350896,0.0,6684714,3670026,6684714,2621450,0,0.007833786,0.0065241097,0.010923557,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1001563400,6946858,3670026,6946858,2621450,0,0.15086883,0.22951816,0.32191265,0.0,6684714,3670026,6684714,2621450,0,0.0033644554,0.0021308374,0.0045284447,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1001760492,6946858,3670026,6946858,2621450,0,0.32553622,0.25100324,0.42983678,0.0,6684714,3670026,6684714,2621450,0,0.0098518375,0.0022501233,0.009445052,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1001966759,6946858,3670026,6946858,2621450,0,0.3234881,0.27095512,0.5410507,0.0,6684714,3670026,6684714,2621450,0,0.007423815,0.0043612635,0.0068998174,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1002160646,6946858,3670026,6946858,2621450,0,0.21460028,0.27857304,0.16864145,0.0,6684714,3670026,6684714,2621450,0,0.013563702,0.0043006623,0.013062532,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1002365268,6946858,3670026,6946858,2621450,0,0.19627768,0.24324335,0.24352343,0.0,6684714,3670026,6684714,2621450,0,0.007611791,0.0019844794,0.006778058,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1002562297,6946858,3670026,6946858,2621450,0,0.2370672,0.28711778,0.05621992,0.0,6684714,3670026,6684714,2621450,0,0.010509902,0.0068784873,0.015419076,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1002760890,6946858,3670026,6946858,2621450,0,0.20950095,0.25310045,0.23100019,0.0,6684714,3670026,6684714,2621450,0,0.009580895,0.0052609295,0.009247057,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1002957950,6946858,3670026,6946858,2621450,0,0.20251301,0.40152735,0.40219024,0.0,6684714,3670026,6684714,2621450,0,0.0057483492,0.0047574835,0.0036716897,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1003156978,6946858,3670026,6946858,2621450,0,0.23637775,0.25685757,0.3290431,0.0,6684714,3670026,6684714,2621450,0,0.005397068,0.005517521,0.0062009185,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1003364139,6946858,3670026,6946858,2621450,0,0.33740774,0.25791693,0.45901495,0.0,6684714,3670026,6684714,2621450,0,0.012012968,0.005929341,0.0071233953,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1003567209,6946858,3670026,6946858,2621450,0,0.3323578,0.32106984,0.41016033,0.0,6684714,3670026,6684714,2621450,0,0.010362501,0.0062041716,0.011220808,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1003767316,6946858,3670026,6946858,2621450,0,0.2869586,0.23731007,0.3019612,0.0,6684714,3670026,6684714,2621450,0,0.008442145,0.003573968,0.0071821185,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1003962870,6946858,3670026,6946858,2621450,0,0.34748948,0.3916649,0.32628348,0.0,6684714,3670026,6684714,2621450,0,0.009717831,0.0014374967,0.008821843,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1004163047,6946858,3670026,6946858,2621450,0,0.27532086,0.20493382,0.46350992,0.0,6684714,3670026,6684714,2621450,0,0.012568815,0.0066029276,0.0107780285,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1004360054,6946858,3670026,6946858,2621450,0,0.13894391,0.24415778,0.1330472,0.0,6684714,3670026,6684714,2621450,0,0.0106933545,0.008473631,0.009397744,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1004561661,6946858,3670026,6946858,2621450,0,0.28300333,0.26875496,0.30721197,0.0,6684714,3670026,6684714,2621450,0,0.0054318784,0.0032715232,0.007175182,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1004763207,6946858,3670026,6946858,2621450,0,0.21391402,0.2597093,0.3210271,0.0,6684714,3670026,6684714,2621450,0,0.0076025147,0.00025392373,0.007525616,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1004966250,6946858,3670026,6946858,2621450,0,0.15536559,0.24252719,0.10088527,0.0,6684714,3670026,6684714,2621450,0,0.010884756,0.004823466,0.011210443,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1005160362,6946858,3670026,6946858,2621450,0,0.20935643,0.227761,0.29188058,0.0,6684714,3670026,6684714,2621450,0,0.012094235,0.0027585619,0.010272404,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1005366462,6946858,3670026,6946858,2621450,0,0.14162432,0.224213,0.21526483,0.0,6684714,3670026,6684714,2621450,0,0.011077749,0.002072348,0.010266056,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1005562046,6946858,3670026,6946858,2621450,0,0.24095763,0.35235474,0.39317435,0.0,6684714,3670026,6684714,2621450,0,0.010029757,0.0014450806,0.011325833,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1005763609,6946858,3670026,6946858,2621450,0,0.22345813,0.32514954,0.23914295,0.0,6684714,3670026,6684714,2621450,0,0.01542686,0.0021348195,0.017018393,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1005956127,6946858,3670026,6946858,2621450,0,0.20346089,0.178832,0.09540454,0.0,6684714,3670026,6684714,2621450,0,0.0092675,0.0036809037,0.010813491,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1006166697,6946858,3670026,6946858,2621450,0,0.16186543,0.28668237,0.2755127,0.0,6684714,3670026,6684714,2621450,0,0.0084381,0.0062310873,0.0103854025,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1006362288,6946858,3670026,6946858,2621450,0,0.28351974,0.2053012,0.34664616,0.0,6684714,3670026,6684714,2621450,0,0.018665329,0.0064798915,0.015639618,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1006562496,6946858,3670026,6946858,2621450,0,0.25226042,0.27824396,0.32862815,0.0,6684714,3670026,6684714,2621450,0,0.0069231554,0.010928561,0.014104406,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1006762565,6946858,3670026,6946858,2621450,0,0.2946679,0.26666114,0.28222513,0.0,6684714,3670026,6684714,2621450,0,0.0055764425,0.0021666673,0.0037967688,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1006958046,6946858,3670026,6946858,2621450,0,0.31256,0.20753364,0.28096053,0.0,6684714,3670026,6684714,2621450,0,0.010152759,0.0015926125,0.010682964,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1007164137,6946858,3670026,6946858,2621450,0,0.3001303,0.3206007,0.39472067,0.0,6684714,3670026,6684714,2621450,0,0.011206007,0.004938248,0.008081744,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1007364185,6946858,3670026,6946858,2621450,0,0.3890992,0.2183713,0.429519,0.0,6684714,3670026,6684714,2621450,0,0.006344136,0.008008912,0.013701378,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1007565749,6946858,3670026,6946858,2621450,0,0.21517731,0.18570271,0.34382147,0.0,6684714,3670026,6684714,2621450,0,0.012777912,0.0014503471,0.011364419,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1007768864,6946858,3670026,6946858,2621450,0,0.472836,0.40777105,0.60203516,0.0,6684714,3670026,6684714,2621450,0,0.0060491883,0.0069695646,0.010289808,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1007964399,6946858,3670026,6946858,2621450,0,0.12834376,0.47632268,0.45072135,0.0,6684714,3670026,6684714,2621450,0,0.0067799,0.0045569576,0.0066122473,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1008165944,6946858,3670026,6946858,2621450,0,0.18762578,0.480598,0.3992446,0.0,6684714,3670026,6684714,2621450,0,0.008346881,0.0037321104,0.007780293,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1008357036,6946858,3670026,6946858,2621450,0,0.26050228,0.29689017,0.36606085,0.0,6684714,3670026,6684714,2621450,0,0.0047617336,0.0026905604,0.0032614272,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1008563165,6946858,3670026,6946858,2621450,0,0.29720283,0.5094578,0.68293995,0.0,6684714,3670026,6684714,2621450,0,0.0052882624,0.003357732,0.003381698,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1008761692,6946858,3670026,6946858,2621450,0,0.3169086,0.40610406,0.5460904,0.0,6684714,3670026,6684714,2621450,0,0.007956361,0.00920111,0.012502514,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1008964774,6946858,3670026,6946858,2621450,0,0.314313,0.3223738,0.37180018,0.0,6684714,3670026,6684714,2621450,0,0.005186361,0.0023164225,0.006257483,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1009166366,6946858,3670026,6946858,2621450,0,0.30558014,0.35389355,0.33687875,0.0,6684714,3670026,6684714,2621450,0,0.0033752497,0.0033970736,0.0031152472,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1009358909,6946858,3670026,6946858,2621450,0,0.32870576,0.41093618,0.641007,0.0,6684714,3670026,6684714,2621450,0,0.0046575796,0.011862014,0.011612216,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1009566482,6946858,3670026,6946858,2621450,0,0.37042695,0.35929143,0.55007106,0.0,6684714,3670026,6684714,2621450,0,0.009143524,0.0045043183,0.00976265,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1009757548,6946858,3670026,6946858,2621450,0,0.33925718,0.20493352,0.33130202,0.0,6684714,3670026,6684714,2621450,0,0.00988117,0.0028178517,0.009959409,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1009959114,6946858,3670026,6946858,2621450,0,0.44216514,0.3880586,0.65273917,0.0,6684714,3670026,6684714,2621450,0,0.011162722,0.005059615,0.008173686,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1010160693,6946858,3670026,6946858,2621450,0,0.4714522,0.3601558,0.6719572,0.0,6684714,3670026,6684714,2621450,0,0.011830618,0.0071493136,0.015929714,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1010365269,6946858,3670026,6946858,2621450,0,0.5119241,0.38976413,0.41829368,0.0,6684714,3670026,6684714,2621450,0,0.013240138,0.007516287,0.008628007,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1010566862,6946858,3670026,6946858,2621450,0,0.3196922,0.31880078,0.48922905,0.0,6684714,3670026,6684714,2621450,0,0.0113622565,0.006674518,0.0074747857,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1010765421,6946858,3670026,6946858,2621450,0,0.15820338,0.30067524,0.39010033,0.0,6684714,3670026,6684714,2621450,0,0.013410531,0.005990879,0.012569841,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1010962519,6946858,3670026,6946858,2621450,0,0.2272931,0.3724273,0.3676321,0.0,6684714,3670026,6684714,2621450,0,0.008664376,0.0024863551,0.010210953,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1011162556,6946858,3670026,6946858,2621450,0,0.19342998,0.5006303,0.6334045,0.0,6684714,3670026,6684714,2621450,0,0.00841822,0.006504909,0.012103969,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1011356609,6946858,3670026,6946858,2621450,0,0.4526245,0.34394494,0.49497482,0.0,6684714,3670026,6684714,2621450,0,0.00673485,0.0046198503,0.009943726,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1011558164,6946858,3670026,6946858,2621450,0,0.34757933,0.09669352,0.3608515,0.0,6684714,3670026,6684714,2621450,0,0.0106448205,0.007962732,0.0059736366,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1011767305,6946858,3670026,6946858,2621450,0,0.2798852,0.35477632,0.3924419,0.0,6684714,3670026,6684714,2621450,0,0.011303188,0.0074480055,0.016933698,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1011959859,6946858,3670026,6946858,2621450,0,0.53386265,0.25441077,0.6291519,0.0,6684714,3670026,6684714,2621450,0,0.013309837,0.009249345,0.008171671,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1012162899,6946858,3670026,6946858,2621450,0,0.3424006,0.18322329,0.26063046,0.0,6684714,3670026,6684714,2621450,0,0.0067039854,0.006108736,0.010528472,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1012362983,6946858,3670026,6946858,2621450,0,0.2371907,0.24942856,0.2651184,0.0,6684714,3670026,6684714,2621450,0,0.0038845576,0.008885763,0.008927568,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1012557075,6946858,3670026,6946858,2621450,0,0.35126686,0.2424686,0.40153176,0.0,6684714,3670026,6684714,2621450,0,0.00704061,0.004117144,0.008733991,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1012758995,6946858,3670026,6946858,2621450,0,0.2723629,0.26342875,0.40832675,0.0,6684714,3670026,6684714,2621450,0,0.009266388,0.006574815,0.009299838,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1012959061,6946858,3670026,6946858,2621450,0,0.33795202,0.21674545,0.29895645,0.0,6684714,3670026,6684714,2621450,0,0.011148022,0.007898507,0.017563928,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1013166269,6946858,3670026,6946858,2621450,0,0.26587063,0.3428106,0.3715,0.0,6684714,3670026,6684714,2621450,0,0.0075735394,0.0026589327,0.0062372163,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1013363350,6946858,3670026,6946858,2621450,0,0.3740935,0.33320418,0.095472954,0.0,6684714,3670026,6684714,2621450,0,0.008478591,0.004195518,0.007415637,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1013558879,6946858,3670026,6946858,2621450,0,0.40821153,0.32569963,0.4948813,0.0,6684714,3670026,6684714,2621450,0,0.0072499407,0.0071936757,0.01029442,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1013766466,6946858,3670026,6946858,2621450,0,0.27880284,0.432687,0.28094488,0.0,6684714,3670026,6684714,2621450,0,0.0049538612,0.0020341957,0.004086089,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1013960498,6946858,3670026,6946858,2621450,0,0.3253785,0.29764864,0.38497946,0.0,6684714,3670026,6684714,2621450,0,0.00927651,0.0022074808,0.008443282,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1014165076,6946858,3670026,6946858,2621450,0,0.48984048,0.33874404,0.7019794,0.0,6684714,3670026,6684714,2621450,0,0.012454197,0.005981075,0.010003913,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1014359343,6946858,3670026,6946858,2621450,0,0.40681413,0.3486412,0.4024853,0.0,6684714,3670026,6684714,2621450,0,0.009477246,0.004460442,0.0103831515,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1014566713,6946858,3670026,6946858,2621450,0,0.22920343,0.33241034,0.38717496,0.0,6684714,3670026,6684714,2621450,0,0.011370661,0.007985176,0.0053410977,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1014763770,6946858,3670026,6946858,2621450,0,0.23290034,0.27644202,0.33733606,0.0,6684714,3670026,6684714,2621450,0,0.0091341995,0.0044805952,0.01144036,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1014966863,6946858,3670026,6946858,2621450,0,0.19504346,0.24284986,0.311646,0.0,6684714,3670026,6684714,2621450,0,0.012880505,0.0021437998,0.011293639,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1015160884,6946858,3670026,6946858,2621450,0,0.2545031,0.23884006,0.27285227,0.0,6684714,3670026,6684714,2621450,0,0.014148606,0.001640671,0.014521081,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1015365429,6946858,3670026,6946858,2621450,0,0.5186281,0.18763871,0.5303294,0.0,6684714,3670026,6684714,2621450,0,0.014336225,0.001421616,0.014025228,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1015559497,6946858,3670026,6946858,2621450,0,0.36292055,0.3119489,0.4688109,0.0,6684714,3670026,6684714,2621450,0,0.008480437,0.0041248556,0.0064423885,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1015764182,6946858,3670026,6946858,2621450,0,0.30225858,0.25285044,0.32923403,0.0,6684714,3670026,6684714,2621450,0,0.010841186,0.0061974796,0.011331362,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1015967118,6946858,3670026,6946858,2621450,0,0.39813015,0.3948658,0.6453629,0.0,6684714,3670026,6684714,2621450,0,0.007026761,0.0032726054,0.004539574,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1016162702,6946858,3670026,6946858,2621450,0,0.36436117,0.24454702,0.26463306,0.0,6684714,3670026,6684714,2621450,0,0.005010908,0.0026824817,0.0055145244,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1016365762,6946858,3670026,6946858,2621450,0,0.2572176,0.2982726,0.43396264,0.0,6684714,3670026,6684714,2621450,0,0.009481576,0.0060302326,0.009860487,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1016562843,6946858,3670026,6946858,2621450,0,0.28127536,0.19888982,0.20829943,0.0,6684714,3670026,6684714,2621450,0,0.0084676985,0.0026652177,0.0066732005,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
1016764417,6946858,3670026,6946858,2621450,0,0.18300797,0.27771756,0.21833612,0.0,6684714,3670026,6684714,2621450,0,0.007816526,0.002483635,0.0072588343,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
