timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
1017469077,986560321,992142153,983355068,2147411071,16696447,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1017975075,986560321,992142153,983355068,2147411071,16696447,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1018085281,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1018591070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1019098071,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1019604070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1020111098,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1020617085,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1021123070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1021630358,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1022136344,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1022642072,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1023148088,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1023655349,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1024161070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1024667253,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1025173637,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1025680088,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1026186070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1026692296,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1027199070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1027706070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1028212070,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
1028718219,986560321,992142153,1018085117,2147411071,16696447,0,2,2,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1
