timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
630672690,1,0,0,0,1,0,0,0,0,0,0,0,0
631179216,1,0,0,0,1,0,0,0,0,0,0,0,0
631686120,1,0,0,0,1,0,0,0,0,0,0,0,0
632193424,1,0,0,0,1,0,0,0,0,0,0,0,0
632706621,1,0,0,0,1,0,0,0,0,0,0,0,0
633213259,1,0,0,0,1,0,0,0,0,0,0,0,0
633724232,1,0,0,0,1,0,0,0,0,0,0,0,0
634234498,1,0,0,0,1,0,0,0,0,0,0,0,0
634744149,1,0,0,0,1,0,0,0,0,0,0,0,0
635260345,1,0,0,0,1,0,0,0,0,0,0,0,0
635763704,1,0,0,0,1,0,0,0,0,0,0,0,0
636264848,1,0,0,0,1,0,0,0,0,0,0,0,0
636776176,1,0,0,0,1,0,0,0,0,0,0,0,0
637285761,1,0,0,0,1,0,0,0,0,0,0,0,0
637788346,1,0,0,0,1,0,0,0,0,0,0,0,0
638300198,1,0,0,0,1,0,0,0,0,0,0,0,0
638808908,1,0,0,0,1,0,0,0,0,0,0,0,0
639317656,1,0,0,0,1,0,0,0,0,0,0,0,0
639827100,1,0,0,0,1,0,0,0,0,0,0,0,0
640330333,1,0,0,0,1,0,0,0,0,0,0,0,0
640836051,1,0,0,0,1,0,0,0,0,0,0,0,0
641343149,1,0,0,0,1,0,0,0,0,0,0,0,0
641848378,1,0,0,0,1,0,0,0,0,0,0,0,0
642354731,1,0,0,0,1,0,0,0,0,0,0,0,0
642865030,1,0,0,0,1,0,0,0,0,0,0,0,0
643373087,1,0,0,0,1,0,0,0,0,0,0,0,0
643884424,1,0,0,0,1,0,0,0,0,0,0,0,0
644387692,1,0,0,0,1,0,0,0,0,0,0,0,0
644903153,1,0,0,0,1,0,0,0,0,0,0,0,0
645408277,1,0,0,0,1,0,0,0,0,0,0,0,0
645910021,1,0,0,0,1,0,0,0,0,0,0,0,0
646418649,1,0,0,0,1,0,0,0,0,0,0,0,0
646833878,1,1,1,0,0,1,1,0,1,1,1,1,0
647339199,1,1,1,0,0,1,1,0,1,1,1,1,0
647845057,1,1,1,0,0,1,1,0,1,1,1,1,0
648351325,1,1,1,0,0,1,1,0,1,1,1,1,0
648852321,1,1,1,0,0,1,1,0,1,1,1,1,0
649371153,1,1,1,0,0,1,1,0,1,1,1,1,0
649878345,1,1,1,0,0,1,1,0,1,1,1,1,0
650385436,1,1,1,0,0,1,1,0,1,1,1,1,0
650887729,1,1,1,0,0,1,1,0,1,1,1,1,0
651395441,1,1,1,0,0,1,1,0,1,1,1,1,0
651546990,0,1,1,0,0,1,1,0,1,1,1,1,0
651563193,0,1,1,0,0,1,1,0,1,1,1,1,0
652063351,0,1,1,0,0,1,1,0,1,1,1,1,0
